land,iso2,year,value,type,country
Slowenien,SI,1998,0.0118665762935254,Gesamtwirtschaft,Slovenia
Slowakei,SK,1998,0.00933274170970747,Gesamtwirtschaft,Slovakia
Finnland,FI,1998,0.00629525999376499,Gesamtwirtschaft,Finland
Schweden,SE,1998,0.0176765559113072,Gesamtwirtschaft,Sweden
Großbritannien,UK,1998,0.0469249481734244,Gesamtwirtschaft,United Kingdom
Norwegen,NO,1998,0.00540537721568377,Gesamtwirtschaft,Norway
Kanada,CA,1998,0.00673707685041493,Gesamtwirtschaft,Canada
Japan,JP,1998,0.019735659505084,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,1998,0.0705741681093299,Gesamtwirtschaft,United States
EU-14,EU14,1999,0.540360911026588,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,1999,0.642499455535607,Gesamtwirtschaft,EU-27
Belgien,BE,1999,0.0161988579145406,Gesamtwirtschaft,Belgium
Bulgarien,BG,1999,0.00251049747878983,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,1999,0.0212933764657756,Gesamtwirtschaft,Czechia
Dänemark,DK,1999,0.00826284607528814,Gesamtwirtschaft,Denmark
Deutschland,DE,1999,0.288082317168948,Gesamtwirtschaft,Germany
Estland,EE,1999,0.000318112965145718,Gesamtwirtschaft,Estonia
Irland,IE,1999,0.00495277905234916,Gesamtwirtschaft,Ireland
Griechenland,EL,1999,0.00545718584764272,Gesamtwirtschaft,Greece
Spanien,ES,1999,0.0265570056658343,Gesamtwirtschaft,Spain
Frankreich,FR,1999,0.0468560033369354,Gesamtwirtschaft,France
Kroatien,HR,1999,0.00783047442898196,Gesamtwirtschaft,Croatia
Italien,IT,1999,0.0922316470558206,Gesamtwirtschaft,Italy
Zypern,CY,1999,0.000665525523435883,Gesamtwirtschaft,Cyprus
Lettland,LV,1999,0.000507365751168705,Gesamtwirtschaft,Latvia
Litauen,LT,1999,0.000574466064863856,Gesamtwirtschaft,Lithuania
Luxemburg,LU,1999,0.00187510056442142,Gesamtwirtschaft,Luxembourg
Ungarn,HU,1999,0.0287092224174197,Gesamtwirtschaft,Hungary
Niederlande,NL,1999,0.0263221197635624,Gesamtwirtschaft,Netherlands
Polen,PL,1999,0.015441295060581,Gesamtwirtschaft,Poland
Portugal,PT,1999,0.00394927625469567,Gesamtwirtschaft,Portugal
Rumänien,RO,1999,0.00424597442998836,Gesamtwirtschaft,Romania
Slowenien,SI,1999,0.0120217285623888,Gesamtwirtschaft,Slovenia
Slowakei,SK,1999,0.00802050536047958,Gesamtwirtschaft,Slovakia
Finnland,FI,1999,0.00598696080984245,Gesamtwirtschaft,Finland
Schweden,SE,1999,0.0136288115167069,Gesamtwirtschaft,Sweden
Großbritannien,UK,1999,0.048882181765521,Gesamtwirtschaft,United Kingdom
Norwegen,NO,1999,0.00518810090259219,Gesamtwirtschaft,Norway
Kanada,CA,1999,0.00680709094171189,Gesamtwirtschaft,Canada
Japan,JP,1999,0.0227626822833609,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,1999,0.077214766571835,Gesamtwirtschaft,United States
EU-14,EU14,2000,0.52662394329586,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,2000,0.625678902423832,Gesamtwirtschaft,EU-27
Belgien,BE,2000,0.0160540743807564,Gesamtwirtschaft,Belgium
Bulgarien,BG,2000,0.00202108802150344,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,2000,0.0199568888154941,Gesamtwirtschaft,Czechia
Dänemark,DK,2000,0.00785108600663113,Gesamtwirtschaft,Denmark
Deutschland,DE,2000,0.277399412420734,Gesamtwirtschaft,Germany
Estland,EE,2000,0.000221503753774378,Gesamtwirtschaft,Estonia
Irland,IE,2000,0.00566988637192362,Gesamtwirtschaft,Ireland
Griechenland,EL,2000,0.00535884313511204,Gesamtwirtschaft,Greece
Spanien,ES,2000,0.0259124897571633,Gesamtwirtschaft,Spain
Frankreich,FR,2000,0.0480733123085493,Gesamtwirtschaft,France
Kroatien,HR,2000,0.00717601713573747,Gesamtwirtschaft,Croatia
Italien,IT,2000,0.0916126797665239,Gesamtwirtschaft,Italy
Zypern,CY,2000,0.000555850179880489,Gesamtwirtschaft,Cyprus
Lettland,LV,2000,0.000441176400676828,Gesamtwirtschaft,Latvia
Litauen,LT,2000,0.000432002146550196,Gesamtwirtschaft,Lithuania
Luxemburg,LU,2000,0.00213593909527316,Gesamtwirtschaft,Luxembourg
Ungarn,HU,2000,0.0268984635018085,Gesamtwirtschaft,Hungary
Niederlande,NL,2000,0.0229379605783061,Gesamtwirtschaft,Netherlands
Polen,PL,2000,0.018162588647039,Gesamtwirtschaft,Poland
Portugal,PT,2000,0.00419209645437835,Gesamtwirtschaft,Portugal
Rumänien,RO,2000,0.00396933634479461,Gesamtwirtschaft,Romania
Slowenien,SI,2000,0.0110876644963625,Gesamtwirtschaft,Slovenia
Slowakei,SK,2000,0.00813237968434988,Gesamtwirtschaft,Slovakia
Finnland,FI,2000,0.0059110853316082,Gesamtwirtschaft,Finland
Schweden,SE,2000,0.0135150776889009,Gesamtwirtschaft,Sweden
Großbritannien,UK,2000,0.0467627100675198,Gesamtwirtschaft,United Kingdom
Norwegen,NO,2000,0.00519818454551195,Gesamtwirtschaft,Norway
Kanada,CA,2000,0.00766593868074227,Gesamtwirtschaft,Canada
Japan,JP,2000,0.0242073899180493,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,2000,0.0881003843619639,Gesamtwirtschaft,United States
EU-14,EU14,2001,0.523575212394678,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,2001,0.626462068188605,Gesamtwirtschaft,EU-27
Belgien,BE,2001,0.0159387229911183,Gesamtwirtschaft,Belgium
Bulgarien,BG,2001,0.00204146451306699,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,2001,0.0207136402438416,Gesamtwirtschaft,Czechia
Dänemark,DK,2001,0.00779876594695206,Gesamtwirtschaft,Denmark
Deutschland,DE,2001,0.268252486928056,Gesamtwirtschaft,Germany
Estland,EE,2001,0.000297404921324214,Gesamtwirtschaft,Estonia
Irland,IE,2001,0.00644354537542755,Gesamtwirtschaft,Ireland
Griechenland,EL,2001,0.0051669285305317,Gesamtwirtschaft,Greece
Spanien,ES,2001,0.0240056971399559,Gesamtwirtschaft,Spain
Frankreich,FR,2001,0.052501708463998,Gesamtwirtschaft,France
Kroatien,HR,2001,0.00758564401598899,Gesamtwirtschaft,Croatia
Italien,IT,2001,0.0952519901889855,Gesamtwirtschaft,Italy
Zypern,CY,2001,0.000608538550132678,Gesamtwirtschaft,Cyprus
Lettland,LV,2001,0.000482162841108703,Gesamtwirtschaft,Latvia
Litauen,LT,2001,0.000485385948971067,Gesamtwirtschaft,Lithuania
Luxemburg,LU,2001,0.00207270980174387,Gesamtwirtschaft,Luxembourg
Ungarn,HU,2001,0.0281037781367199,Gesamtwirtschaft,Hungary
Niederlande,NL,2001,0.0228902062524306,Gesamtwirtschaft,Netherlands
Polen,PL,2001,0.0186318872756842,Gesamtwirtschaft,Poland
Portugal,PT,2001,0.00420947555148421,Gesamtwirtschaft,Portugal
Rumänien,RO,2001,0.00454882027912897,Gesamtwirtschaft,Romania
Slowenien,SI,2001,0.0104410641196764,Gesamtwirtschaft,Slovenia
Slowakei,SK,2001,0.00894706494828259,Gesamtwirtschaft,Slovakia
Finnland,FI,2001,0.00636045001967026,Gesamtwirtschaft,Finland
Schweden,SE,2001,0.0126825252043245,Gesamtwirtschaft,Sweden
Großbritannien,UK,2001,0.0491004693384107,Gesamtwirtschaft,United Kingdom
Norwegen,NO,2001,0.00551068801426999,Gesamtwirtschaft,Norway
Kanada,CA,2001,0.00834421392175681,Gesamtwirtschaft,Canada
Japan,JP,2001,0.0230573273574123,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,2001,0.0933269582409383,Gesamtwirtschaft,United States
EU-14,EU14,2002,0.526144461557836,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,2002,0.632525720727149,Gesamtwirtschaft,EU-27
Belgien,BE,2002,0.0142137653531848,Gesamtwirtschaft,Belgium
Bulgarien,BG,2002,0.00222863485227166,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,2002,0.0212040302000307,Gesamtwirtschaft,Czechia
Dänemark,DK,2002,0.00797120450753674,Gesamtwirtschaft,Denmark
Deutschland,DE,2002,0.260927423322238,Gesamtwirtschaft,Germany
Estland,EE,2002,0.0003422680467239,Gesamtwirtschaft,Estonia
Irland,IE,2002,0.00813902603005045,Gesamtwirtschaft,Ireland
Griechenland,EL,2002,0.00520468755455706,Gesamtwirtschaft,Greece
Spanien,ES,2002,0.0246107455778657,Gesamtwirtschaft,Spain
Frankreich,FR,2002,0.05290402656953,Gesamtwirtschaft,France
Kroatien,HR,2002,0.0081258227534063,Gesamtwirtschaft,Croatia
Italien,IT,2002,0.103728864792489,Gesamtwirtschaft,Italy
Zypern,CY,2002,0.000622774107228147,Gesamtwirtschaft,Cyprus
Lettland,LV,2002,0.00055683868310152,Gesamtwirtschaft,Latvia
Litauen,LT,2002,0.000533583344932436,Gesamtwirtschaft,Lithuania
Luxemburg,LU,2002,0.00202574278778151,Gesamtwirtschaft,Luxembourg
Ungarn,HU,2002,0.0291481133748673,Gesamtwirtschaft,Hungary
Niederlande,NL,2002,0.0225495962326429,Gesamtwirtschaft,Netherlands
Polen,PL,2002,0.0186688242699843,Gesamtwirtschaft,Poland
Portugal,PT,2002,0.00395575176265967,Gesamtwirtschaft,Portugal
Rumänien,RO,2002,0.00506669741298814,Gesamtwirtschaft,Romania
Slowenien,SI,2002,0.0108067962403371,Gesamtwirtschaft,Slovenia
Slowakei,SK,2002,0.00907687588344109,Gesamtwirtschaft,Slovakia
Finnland,FI,2002,0.00662111003677096,Gesamtwirtschaft,Finland
Schweden,SE,2002,0.0132925170305292,Gesamtwirtschaft,Sweden
Großbritannien,UK,2002,0.0526922781844587,Gesamtwirtschaft,United Kingdom
Norwegen,NO,2002,0.00536095774392312,Gesamtwirtschaft,Norway
Kanada,CA,2002,0.00811389023204304,Gesamtwirtschaft,Canada
Japan,JP,2002,0.0213130098226211,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,2002,0.0830958307372865,Gesamtwirtschaft,United States
EU-14,EU14,2003,0.530964757809648,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,2003,0.641208107952564,Gesamtwirtschaft,EU-27
Belgien,BE,2003,0.0139870963376067,Gesamtwirtschaft,Belgium
Bulgarien,BG,2003,0.00276365867223994,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,2003,0.0217129780335395,Gesamtwirtschaft,Czechia
Dänemark,DK,2003,0.00793162890747572,Gesamtwirtschaft,Denmark
Deutschland,DE,2003,0.266697529204046,Gesamtwirtschaft,Germany
Estland,EE,2003,0.000346740981268333,Gesamtwirtschaft,Estonia
Irland,IE,2003,0.00769681385587803,Gesamtwirtschaft,Ireland
Griechenland,EL,2003,0.00668226299983689,Gesamtwirtschaft,Greece
Spanien,ES,2003,0.0246673892774505,Gesamtwirtschaft,Spain
Frankreich,FR,2003,0.0503876857999453,Gesamtwirtschaft,France
Kroatien,HR,2003,0.00872236292635515,Gesamtwirtschaft,Croatia
Italien,IT,2003,0.101989989895642,Gesamtwirtschaft,Italy
Zypern,CY,2003,0.000557766287830275,Gesamtwirtschaft,Cyprus
Lettland,LV,2003,0.000644327178468433,Gesamtwirtschaft,Latvia
Litauen,LT,2003,0.000722714131227949,Gesamtwirtschaft,Lithuania
Luxemburg,LU,2003,0.00201032858347879,Gesamtwirtschaft,Luxembourg
Ungarn,HU,2003,0.0276399238871947,Gesamtwirtschaft,Hungary
Niederlande,NL,2003,0.025141199899243,Gesamtwirtschaft,Netherlands
Polen,PL,2003,0.0191799490920631,Gesamtwirtschaft,Poland
Portugal,PT,2003,0.00423838614684564,Gesamtwirtschaft,Portugal
Rumänien,RO,2003,0.00603818746028409,Gesamtwirtschaft,Romania
Slowenien,SI,2003,0.0114063882429633,Gesamtwirtschaft,Slovenia
Slowakei,SK,2003,0.0105083532494809,Gesamtwirtschaft,Slovakia
Finnland,FI,2003,0.00573844675006684,Gesamtwirtschaft,Finland
Schweden,SE,2003,0.0137960001521331,Gesamtwirtschaft,Sweden
Großbritannien,UK,2003,0.0520909820030663,Gesamtwirtschaft,United Kingdom
Norwegen,NO,2003,0.00510290665772039,Gesamtwirtschaft,Norway
Kanada,CA,2003,0.00735781165694045,Gesamtwirtschaft,Canada
Japan,JP,2003,0.0208603989587342,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,2003,0.0743117834812489,Gesamtwirtschaft,United States
EU-14,EU14,2004,0.512728174651148,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,2004,0.62999928331846,Gesamtwirtschaft,EU-27
Belgien,BE,2004,0.0137354496550194,Gesamtwirtschaft,Belgium
Bulgarien,BG,2004,0.00306340440561561,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,2004,0.0214697528545921,Gesamtwirtschaft,Czechia
Dänemark,DK,2004,0.00730940579488832,Gesamtwirtschaft,Denmark
Deutschland,DE,2004,0.260363836022241,Gesamtwirtschaft,Germany
Estland,EE,2004,0.000626989910680348,Gesamtwirtschaft,Estonia
Irland,IE,2004,0.00675884576052523,Gesamtwirtschaft,Ireland
Griechenland,EL,2004,0.00575555351585253,Gesamtwirtschaft,Greece
Spanien,ES,2004,0.0251173391923294,Gesamtwirtschaft,Spain
Frankreich,FR,2004,0.0469404001698532,Gesamtwirtschaft,France
Kroatien,HR,2004,0.00903742559510575,Gesamtwirtschaft,Croatia
Italien,IT,2004,0.0975628334565708,Gesamtwirtschaft,Italy
Zypern,CY,2004,0.000607239472285611,Gesamtwirtschaft,Cyprus
Lettland,LV,2004,0.000737084273776807,Gesamtwirtschaft,Latvia
Litauen,LT,2004,0.000775917410819825,Gesamtwirtschaft,Lithuania
Luxemburg,LU,2004,0.00214438434701808,Gesamtwirtschaft,Luxembourg
Ungarn,HU,2004,0.0355611630717151,Gesamtwirtschaft,Hungary
Niederlande,NL,2004,0.0242076332538968,Gesamtwirtschaft,Netherlands
Polen,PL,2004,0.0170585126998822,Gesamtwirtschaft,Poland
Portugal,PT,2004,0.00379592298336737,Gesamtwirtschaft,Portugal
Rumänien,RO,2004,0.00655247855462404,Gesamtwirtschaft,Romania
Slowenien,SI,2004,0.0112269705088695,Gesamtwirtschaft,Slovenia
Slowakei,SK,2004,0.0105541699093449,Gesamtwirtschaft,Slovakia
Finnland,FI,2004,0.00592051379917922,Gesamtwirtschaft,Finland
Schweden,SE,2004,0.0131160567004068,Gesamtwirtschaft,Sweden
Großbritannien,UK,2004,0.0483997079290708,Gesamtwirtschaft,United Kingdom
Norwegen,NO,2004,0.00489758443603622,Gesamtwirtschaft,Norway
Kanada,CA,2004,0.0082139780854252,Gesamtwirtschaft,Canada
Japan,JP,2004,0.0230253976545308,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,2004,0.0777745338013063,Gesamtwirtschaft,United States
EU-14,EU14,2005,0.50503905445127,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,2005,0.619537122753511,Gesamtwirtschaft,EU-27
Belgien,BE,2005,0.0143680940429568,Gesamtwirtschaft,Belgium
Bulgarien,BG,2005,0.00304454119124166,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,2005,0.0219802107889931,Gesamtwirtschaft,Czechia
Dänemark,DK,2005,0.00727770433886468,Gesamtwirtschaft,Denmark
Deutschland,DE,2005,0.262121368334971,Gesamtwirtschaft,Germany
Estland,EE,2005,0.00070517774788504,Gesamtwirtschaft,Estonia
Irland,IE,2005,0.00641672723009401,Gesamtwirtschaft,Ireland
Griechenland,EL,2005,0.00566242736570768,Gesamtwirtschaft,Greece
Spanien,ES,2005,0.0222938654396694,Gesamtwirtschaft,Spain
Frankreich,FR,2005,0.0463635869952865,Gesamtwirtschaft,France
Kroatien,HR,2005,0.00801283196393239,Gesamtwirtschaft,Croatia
Italien,IT,2005,0.093893509992301,Gesamtwirtschaft,Italy
Zypern,CY,2005,0.000515485752940764,Gesamtwirtschaft,Cyprus
Lettland,LV,2005,0.00089672691850941,Gesamtwirtschaft,Latvia
Litauen,LT,2005,0.000970063013548964,Gesamtwirtschaft,Lithuania
Luxemburg,LU,2005,0.0021370621837287,Gesamtwirtschaft,Luxembourg
Ungarn,HU,2005,0.0302815472254971,Gesamtwirtschaft,Hungary
Niederlande,NL,2005,0.0228775275927443,Gesamtwirtschaft,Netherlands
Polen,PL,2005,0.0178152907947786,Gesamtwirtschaft,Poland
Portugal,PT,2005,0.00338519458252953,Gesamtwirtschaft,Portugal
Rumänien,RO,2005,0.00825548220694527,Gesamtwirtschaft,Romania
Slowenien,SI,2005,0.011937369513151,Gesamtwirtschaft,Slovenia
Slowakei,SK,2005,0.0100833411848174,Gesamtwirtschaft,Slovakia
Finnland,FI,2005,0.0055805044879485,Gesamtwirtschaft,Finland
Schweden,SE,2005,0.0126614818644681,Gesamtwirtschaft,Sweden
Großbritannien,UK,2005,0.0473657174782886,Gesamtwirtschaft,United Kingdom
Norwegen,NO,2005,0.0055274026786249,Gesamtwirtschaft,Norway
Kanada,CA,2005,0.00827708765469885,Gesamtwirtschaft,Canada
Japan,JP,2005,0.0225836636437624,Gesamtwirtschaft,Japan
Vereinigte Staaten,US,2005,0.0714892499097571,Gesamtwirtschaft,United States
EU-14,EU14,2006,0.490647347975068,Gesamtwirtschaft,EU-14
EU-27,EU27_2020,2006,0.607212023927632,Gesamtwirtschaft,EU-27
Belgien,BE,2006,0.0120467911110899,Gesamtwirtschaft,Belgium
Bulgarien,BG,2006,0.00351406477722217,Gesamtwirtschaft,Bulgaria
Tschechische Republik,CZ,2006,0.0217249575557225,Gesamtwirtschaft,Czechia
Dänemark,DK,2006,0.00700660054319505,Gesamtwirtschaft,Denmark
Deutschland,DE,2006,0.253282057342364,Gesamtwirtschaft,Germany
Estland,EE,2006,0.000699094440375297,Gesamtwirtschaft,Estonia
Irland,IE,2006,0.00567677248910375,Gesamtwirtschaft,Ireland
Griechenland,EL,2006,0.00621767964672482,Gesamtwirtschaft,Greece
Spanien,ES,2006,0.023485873308683,Gesamtwirtschaft,Spain
Frankreich,FR,2006,0.0425072394441039,Gesamtwirtschaft,France
Kroatien,HR,2006,0.00829765242359576,Gesamtwirtschaft,Croatia
Italien,IT,2006,0.0955790759580448,Gesamtwirtschaft,Italy
Zypern,CY,2006,0.00069551121729679,Gesamtwirtschaft,Cyprus
Lettland,LV,2006,0.00103727992054332,Gesamtwirtschaft,Latvia
Litauen,LT,2006,0.000903662800831745,Gesamtwirtschaft,Lithuania
Luxemburg,LU,2006,0.00217395573465033,Gesamtwirtschaft,Luxembourg
Ungarn,HU,2006,0.0281117063889007,Gesamtwirtschaft,Hungary
